Student_ID,Department,Exam_Date,Exam_Duration,Login_Time,Logout_Time,Tab_Switch_Count,Mobile_Detected,Multiple_Face_Detected,Noise_Level,Eye_Movement_Score,Head_Movement_Score,Copy_Paste_Attempts,Browser_Minimized_Count,Suspicious_Key_Presses,Internet_Disconnection_Count,Answer_Similarity_Score,IP_Address_Changes,Webcam_Disabled_Count,Mic_Disabled_Count,Typing_Speed,Exam_Submission_Time,Malpractice_Label
STU00001,MECH,2026-01-18,90,14:05:00,15:03:00,2,1,0,25.77,51.84,49.71,0,0,5,1,44.83,0,1,0,44.43,15:01:00,1
STU00002,CIVIL,2026-01-18,120,09:04:00,10:21:00,1,0,0,16.42,30.8,12.18,0,1,2,1,6.77,0,0,0,25.18,10:20:00,0
STU00003,IT,2026-01-11,120,09:06:00,10:24:00,2,1,1,21.82,44.29,50.32,0,0,4,0,36.11,1,1,0,52.34,10:23:00,1
STU00004,ECE,2026-02-04,60,10:04:00,10:56:00,8,0,1,97.4,79.77,83.72,9,11,15,7,85.22,5,5,2,113.11,10:55:00,1
STU00005,DS,2026-01-21,120,10:07:00,11:09:00,1,0,1,10.59,21.35,6.31,0,1,0,0,15.47,0,0,0,43.22,11:07:00,0
STU00006,IT,2026-01-01,60,10:08:00,10:41:00,1,0,1,38.88,54.63,29.07,1,2,4,1,56.05,1,0,1,73.03,10:39:00,1
STU00007,EEE,2026-02-24,120,10:10:00,11:47:00,1,0,0,16.47,18.1,20.03,0,1,1,1,40.92,0,0,0,56.4,11:46:00,0
STU00008,ECE,2026-03-12,60,09:04:00,09:58:00,0,0,1,5.62,8.49,13.89,0,0,2,1,40.55,0,0,0,27.08,09:55:00,0
STU00009,MECH,2026-03-30,90,14:06:00,15:19:00,1,0,0,9.56,22.74,17.8,0,0,2,1,40.5,0,0,0,45.87,15:18:00,0
STU00010,DS,2026-01-25,90,14:04:00,15:20:00,1,0,0,31.87,38.48,36.46,0,0,4,0,59.72,1,1,1,46.98,15:18:00,1
STU00011,IT,2026-02-16,60,14:06:00,15:09:00,1,0,1,20.99,15.47,13.31,0,1,1,1,8.36,0,0,0,49.29,15:06:00,0
STU00012,EEE,2026-01-07,120,09:09:00,09:51:00,3,0,0,36.57,46.5,27.22,1,2,3,1,53.17,0,0,1,21.68,09:48:00,1
STU00013,CSE,2026-01-22,120,09:01:00,10:16:00,2,0,1,25.64,52.98,42.23,1,0,5,0,36.1,1,1,1,57.08,10:15:00,1
STU00014,IT,2026-02-13,90,14:08:00,15:03:00,3,0,0,31.13,44.07,35.43,0,1,4,2,48.55,1,0,1,72.69,15:02:00,1
STU00015,IT,2026-01-22,60,10:03:00,10:52:00,0,0,0,21.0,10.7,17.86,0,1,2,1,43.41,0,0,0,52.24,10:51:00,0
STU00016,ECE,2026-02-12,60,09:02:00,09:53:00,2,0,0,46.53,26.41,42.94,1,0,3,0,49.75,0,1,1,80.88,09:50:00,1
STU00017,MECH,2026-01-13,120,10:08:00,11:39:00,1,0,1,28.99,8.55,8.2,0,1,2,1,26.34,0,0,0,63.22,11:38:00,0
STU00018,AIML,2026-01-25,120,14:08:00,14:41:00,0,0,0,7.42,24.11,19.23,0,1,2,0,16.49,0,0,0,28.14,14:41:00,0
STU00019,CSE,2026-01-26,90,09:03:00,10:15:00,3,1,1,50.83,77.56,69.81,3,3,9,4,83.68,0,0,0,20.99,10:12:00,1
STU00020,CSE,2026-01-24,60,14:06:00,14:54:00,0,0,0,22.14,28.02,10.34,0,1,0,0,31.48,0,0,0,58.22,14:53:00,0
STU00021,ECE,2026-01-02,60,09:04:00,10:05:00,3,1,1,29.4,26.14,43.82,1,2,3,2,37.12,1,1,0,21.38,10:03:00,1
STU00022,MECH,2026-03-24,60,09:08:00,09:45:00,3,0,0,39.75,51.62,49.29,1,2,5,1,61.27,0,0,0,57.62,09:44:00,1
STU00023,DS,2026-01-20,120,10:10:00,11:04:00,6,0,0,51.97,70.08,51.47,3,4,10,4,64.21,2,0,0,49.09,11:02:00,1
STU00024,ECE,2026-03-13,120,10:02:00,11:14:00,1,1,1,9.16,26.06,34.45,0,1,2,1,31.14,0,0,0,50.32,11:12:00,1
STU00025,IT,2026-02-25,90,09:10:00,10:33:00,0,0,0,14.5,28.29,28.61,0,0,0,0,44.66,0,0,0,66.88,10:33:00,0
STU00026,AIML,2026-01-20,120,10:03:00,11:52:00,1,0,1,12.78,27.48,27.91,0,1,2,0,32.23,0,0,0,58.55,11:49:00,0
STU00027,ECE,2026-03-22,90,09:03:00,09:54:00,1,0,0,43.91,44.52,28.91,1,1,1,0,63.13,1,0,0,40.69,09:52:00,0
STU00028,ECE,2026-01-15,60,10:06:00,10:42:00,1,0,0,5.12,25.23,20.05,0,0,1,1,23.37,0,0,0,64.34,10:39:00,0
STU00029,AIML,2026-02-20,90,09:07:00,10:20:00,3,1,1,42.56,50.21,72.8,3,5,7,1,70.12,0,1,1,91.15,10:17:00,1
STU00030,ECE,2026-03-11,120,10:10:00,11:41:00,0,0,0,10.67,19.99,19.03,0,1,2,1,28.92,0,0,0,26.04,11:39:00,0
STU00031,CSE,2026-01-22,60,09:00:00,09:46:00,1,1,0,18.28,29.97,21.25,0,0,0,0,21.8,0,0,0,59.27,09:44:00,0
STU00032,IT,2026-01-06,120,09:10:00,11:06:00,0,0,0,21.98,18.62,15.56,0,1,2,1,15.36,0,0,0,31.96,11:05:00,0
STU00033,DS,2026-03-27,90,14:05:00,15:24:00,1,0,0,13.01,17.79,30.94,0,1,2,1,22.18,0,0,0,29.83,15:21:00,0
STU00034,EEE,2026-03-03,60,10:06:00,10:49:00,0,1,0,18.73,14.65,10.97,0,1,2,0,35.52,0,0,0,32.71,10:48:00,0
STU00035,AIML,2026-04-01,120,14:03:00,15:28:00,7,0,1,66.17,51.61,73.15,3,4,4,1,65.88,2,0,0,53.83,15:27:00,1
STU00036,EEE,2026-01-24,120,09:01:00,10:21:00,0,0,1,25.93,8.91,32.66,0,0,2,0,34.18,0,0,0,48.53,10:21:00,0
STU00037,CIVIL,2026-01-14,90,14:01:00,14:48:00,3,0,0,44.1,54.24,42.47,0,1,2,1,46.99,0,1,0,32.26,14:46:00,1
